股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sh600310,桂东电力,2020-07-15,4.39,4.41,4.26,4.3,4.37,10453085.0,45274822.0
sh600310,桂东电力,2020-07-16,4.3,4.39,4.13,4.16,4.3,9907899.0,42417373.0
sh600310,桂东电力,2020-07-17,4.18,4.19,3.98,4.08,4.16,8517865.0,34792206.0
