股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sz002843,泰嘉股份,2020-07-15,8.73,8.81,8.4,8.47,8.74,5954958.0,50867426.0
sz002843,泰嘉股份,2020-07-16,8.49,8.55,8.26,8.29,8.47,4071090.0,34141231.0
sz002843,泰嘉股份,2020-07-17,8.36,8.36,8.19,8.34,8.29,3189245.0,26397594.0
