股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sz300736,百邦科技,2020-07-15,10.42,10.46,9.93,9.94,10.43,3248065.0,32982348.0
sz300736,百邦科技,2020-07-16,9.94,10.11,9.61,9.73,9.94,2457619.0,24209567.0
sz300736,百邦科技,2020-07-17,9.77,9.84,9.52,9.63,9.73,1717540.0,16614972.0
