股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sh603290,斯达半导,2020-07-15,265.13,267.49,246.92,247.7,265.5,3724122.0,943238878.0
sh603290,斯达半导,2020-07-16,246.34,256.0,224.52,235.0,247.7,5212746.0,1269010762.0
sh603290,斯达半导,2020-07-17,234.81,254.0,233.47,244.06,235.0,4514752.0,1102162928.0
