股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sh600307,酒钢宏兴,2020-07-15,1.73,1.74,1.67,1.69,1.73,63904059.0,109225642.0
sh600307,酒钢宏兴,2020-07-16,1.69,1.71,1.64,1.65,1.69,41741617.0,69995764.0
sh600307,酒钢宏兴,2020-07-17,1.64,1.66,1.64,1.65,1.65,39041440.0,64354322.0
