股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sh603908,牧高笛,2020-07-15,27.99,28.47,27.03,27.12,27.97,1237600.0,34217572.0
sh603908,牧高笛,2020-07-16,27.15,27.49,26.01,26.13,27.12,1019900.0,27242632.0
sh603908,牧高笛,2020-07-17,26.13,26.48,25.5,25.8,26.13,719400.0,18619544.0
